Year,URL
1940,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/FDR_1944_Color_Portrait.tif/lossy-page1-832px-FDR_1944_Color_Portrait.tif.jpg
1944,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/FDR_1944_Color_Portrait.tif/lossy-page1-330px-FDR_1944_Color_Portrait.tif.jpg
1948,https://upload.wikimedia.org/wikipedia/commons/1/1e/Truman_58-766-09.jpg
1952,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/President_Eisenhower_Portrait_1959.tif/lossy-page1-330px-President_Eisenhower_Portrait_1959.tif.jpg
1956,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/President_Eisenhower_Portrait_1959.tif/lossy-page1-330px-President_Eisenhower_Portrait_1959.tif.jpg
1960,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/330px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg
1964,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/330px-37_Lyndon_Johnson_3x4.jpg
1968,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif/lossy-page1-330px-Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif.jpg
1972,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif/lossy-page1-330px-Richard_M._Nixon%2C_ca._1935_-_1982_-_NARA_-_530679.tif.jpg
1976,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/330px-JimmyCarterPortrait2.jpg
1980,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/330px-Official_Portrait_of_President_Reagan_1981.jpg
1984,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/330px-Official_Portrait_of_President_Reagan_1981.jpg
1988,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait_cropped.jpg/330px-George_H._W._Bush%2C_President_of_the_United_States%2C_1989_official_portrait_cropped.jpg
1992,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/330px-Bill_Clinton.jpg
1996,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/330px-Bill_Clinton.jpg
2000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/330px-George-W-Bush.jpeg
2004,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/330px-George-W-Bush.jpeg
2008,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Obama_portrait_crop.jpg/330px-Obama_portrait_crop.jpg
2012,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Obama_portrait_crop.jpg/330px-Obama_portrait_crop.jpg
2016,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Official_Portrait_of_President_Donald_Trump_%28cropped%29.jpg/330px-Official_Portrait_of_President_Donald_Trump_%28cropped%29.jpg